"","class","pland","pd","ed","shape_mn","pa"
"150",1,94.44444444,1234.567901,444.4444444,1.301582747,1
"151",1,93.47826087,1207.729469,507.2463768,1.293993278,1
"152",1,95.65217391,1207.729469,398.5507246,1.279204298,1
"153",1,85.86956522,1207.729469,1123.188406,1.800140641,1
"154",1,83.69565217,1207.729469,1449.275362,2.108270665,1
"155",1,86.95652174,1207.729469,1340.57971,1.95655948,1
"156",1,84.7826087,1207.729469,1485.507246,1.98148481,1
"157",1,84.7826087,1207.729469,1449.275362,1.924870958,1
"158",1,88.04347826,1207.729469,1268.115942,2,1
"159",1,85.86956522,1207.729469,1449.275362,2.081412617,1
"160",1,86.95652174,1207.729469,1376.811594,2.068362879,1
"161",0,85.71428571,1221.001221,1501.831502,2.151326365,1
"162",1,83.69565217,1207.729469,1594.202899,2.222231241,1
"163",1,82.60869565,1207.729469,1775.362319,2.466219139,1
"164",1,81.52173913,1207.729469,1847.826087,2.482606158,1
"165",0,83.69565217,1207.729469,1594.202899,2.279211529,1
"166",1,85.86956522,1207.729469,1413.043478,2.137667012,1
"167",1,85.86956522,1207.729469,1376.811594,2.081412617,1
"168",1,81.52173913,1207.729469,1231.884058,1.789785834,1
"169",0,89.13043478,1207.729469,978.2608696,1.656472891,1
"170",1,85.86956522,1207.729469,1304.347826,1.968903827,1
"171",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"172",1,90.2173913,1207.729469,1123.188406,1.86599242,1
"173",0,87.91208791,1221.001221,1172.161172,1.732952683,1
"174",1,86.66666667,1234.567901,1222.222222,1.755029403,1
"175",1,81.52173913,1207.729469,1557.971014,2.25166605,1
"176",1,81.52173913,1207.729469,1557.971014,2.25166605,1
"177",1,81.52173913,1207.729469,1666.666667,2.424871131,1
"178",1,80.43478261,1207.729469,1449.275362,2.150581317,1
"179",1,78.02197802,1221.001221,1538.461538,2.136206985,1
"180",1,80.43478261,1207.729469,1630.434783,2.266828956,1
"181",1,83.69565217,1207.729469,1340.57971,1.994310088,1
"182",1,94.38202247,1248.439451,561.7977528,1.363861814,1
"183",1,82.60869565,1207.729469,1630.434783,2.236803405,1
"184",1,85.55555556,1234.567901,1444.444444,2.108270665,1
"185",1,89.13043478,1207.729469,1231.884058,1.987767469,1
"186",1,89.13043478,1207.729469,1195.652174,1.932551706,1
"187",1,91.11111111,1234.567901,1000,1.82212018,1
"188",1,89.13043478,1207.729469,1050.724638,1.82212018,1
"189",1,92.39130435,1207.729469,579.7101449,1.46428059,1
"190",1,91.30434783,1207.729469,652.173913,1.472970759,1
"191",1,92.39130435,1207.729469,579.7101449,1.355815361,1
"192",1,92.39130435,1207.729469,615.942029,1.410047976,1
"193",1,85.71428571,1221.001221,1135.531136,1.811643255,1
"194",1,86.95652174,1207.729469,1086.956522,1.788854382,1
"195",1,85.86956522,1207.729469,1340.57971,1.912649432,1
"196",1,82.60869565,1207.729469,1485.507246,2.122095538,1
"197",1,82.22222222,1234.567901,1518.518519,2.208705136,1
"198",0,82.60869565,1207.729469,1521.73913,2.236803405,1
"199",1,83.69565217,1207.729469,1521.73913,2.336191817,1
"200",0,83.69565217,1207.729469,1449.275362,2.222231241,1
"201",0,83.69565217,1207.729469,1485.507246,2.279211529,1
"202",0,83.69565217,1207.729469,1521.73913,2.336191817,1
"203",1,83.69565217,1207.729469,1449.275362,2.222231241,1
"204",0,83.33333333,1234.567901,1444.444444,2.193931023,1
"205",0,78.26086957,1207.729469,1739.130435,2.357022604,1
"206",1,83.69565217,1207.729469,1376.811594,2.165250953,1
"207",1,89.13043478,1207.729469,833.3333333,1.546041365,1
"208",1,89.13043478,1207.729469,833.3333333,1.546041365,1
"209",1,88.04347826,1207.729469,1123.188406,1.944444444,1
"210",1,89.13043478,1207.729469,905.7971014,1.766904417,1
"211",1,88.04347826,1207.729469,1050.724638,1.833333333,1
"212",1,78.26086957,1207.729469,1449.275362,2.121320344,1
"213",0,64.13043478,1207.729469,1956.521739,2.60377822,1
"214",0,57.60869565,3623.188406,2173.913043,1.582804382,1
"215",1,60.86956522,1207.729469,2500,3.073504282,1
"216",0,57.60869565,1207.729469,2391.304348,3.021932407,1
"217",1,55.43478261,2415.458937,2500,2.126345597,1
"218",1,50.54945055,4884.004884,2197.802198,1.363090524,1
"219",1,94.56521739,1207.729469,652.173913,1.554563176,1
"220",1,94.56521739,1207.729469,615.942029,1.500957549,1
"221",1,94.56521739,1207.729469,652.173913,1.554563176,1
"222",1,92.30769231,1221.001221,915.7509158,1.691188649,1
"223",1,85.86956522,1207.729469,1268.115942,1.968903827,1
"224",0,85.86956522,1207.729469,1340.57971,1.968903827,1
"225",1,85.86956522,1207.729469,1376.811594,2.025158222,1
"226",1,84.7826087,1207.729469,1449.275362,2.038098661,1
"227",1,89.01098901,1221.001221,879.1208791,1.722222222,1
"228",1,92.39130435,1207.729469,615.942029,1.410047976,1
"229",1,84.44444444,1234.567901,1259.259259,1.892679804,1
"230",1,83.69565217,1207.729469,1413.043478,2.051290376,1
"231",1,85.86956522,1207.729469,1159.42029,1.856395037,1
"232",1,82.60869565,1207.729469,1413.043478,2.007387671,1
"233",1,82.60869565,1207.729469,1666.666667,2.236803405,1
"234",1,83.69565217,1207.729469,1521.73913,2.108270665,1
"235",1,86.95652174,1207.729469,1231.884058,1.95655948,1
"236",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"237",1,84.44444444,1234.567901,1259.259259,1.892679804,1
"238",1,85.86956522,1207.729469,1159.42029,1.856395037,1
"239",1,92.30769231,1221.001221,695.970696,1.527525232,1
"240",1,90.2173913,1207.729469,978.2608696,1.81111029,1
"241",0,89.13043478,1207.729469,1195.652174,1.932551706,1
"242",0,85.86956522,1207.729469,1594.202899,2.306430197,1
"243",1,87.77777778,1234.567901,1333.333333,2.025158222,1
"244",1,88.04347826,1207.729469,1050.724638,1.833333333,1
"245",1,89.13043478,1207.729469,1014.492754,1.766904417,1
"246",1,83.69565217,1207.729469,1485.507246,2.051290376,1
"247",1,85.86956522,1207.729469,1123.188406,1.800140641,1
"248",1,82.60869565,1207.729469,1413.043478,2.007387671,1
"249",1,86.95652174,1207.729469,1231.884058,2.01246118,1
"250",1,93.40659341,1221.001221,586.0805861,1.410047976,1
"251",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"252",1,89.01098901,1221.001221,1062.271062,1.777777778,1
"253",1,82.60869565,1207.729469,1557.971014,2.236803405,1
"254",1,80.21978022,1221.001221,1941.391941,2.516384665,1
"255",1,81.31868132,1221.001221,1941.391941,2.557448052,1
"256",1,81.52173913,1207.729469,1920.289855,2.598076211,1
"257",1,83.69565217,1207.729469,1594.202899,2.165250953,1
"258",1,85.86956522,1207.729469,1449.275362,2.025158222,1
"259",1,82.60869565,1207.729469,1485.507246,2.122095538,1
"260",1,84.7826087,1207.729469,1268.115942,1.924870958,1
"261",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"262",1,85.86956522,1207.729469,1231.884058,1.856395037,1
"263",1,82.60869565,1207.729469,1449.275362,1.892679804,1
"264",1,84.44444444,1234.567901,1444.444444,2.122095538,1
"265",0,86.81318681,1221.001221,1062.271062,1.743886246,1
"266",1,81.52173913,1207.729469,1630.434783,2.309401077,1
"267",0,83.69565217,1207.729469,1231.884058,1.823369223,1
"268",1,82.60869565,1207.729469,1557.971014,2.179449472,1
"269",1,79.34782609,1207.729469,2065.217391,2.691946386,1
"270",1,82.60869565,1207.729469,1775.362319,2.466219139,1
"271",1,83.69565217,1207.729469,1594.202899,2.222231241,1
"272",1,83.51648352,1221.001221,1318.681319,1.892679804,1
"273",1,88.04347826,1207.729469,1304.347826,1.944444444,1
"274",1,88.04347826,1207.729469,1159.42029,1.833333333,1
"275",1,85.86956522,1207.729469,1231.884058,1.856395037,1
"276",1,84.7826087,1207.729469,1195.652174,1.811643255,1
"277",1,85.86956522,1207.729469,1231.884058,1.856395037,1
"278",1,88.04347826,1207.729469,1195.652174,1.888888889,1
"279",1,88.04347826,1207.729469,1195.652174,1.888888889,1
"280",1,86.95652174,1207.729469,1413.043478,2.01246118,1
"281",1,82.60869565,1207.729469,1702.898551,2.294157339,1
"282",0,81.52173913,1207.729469,1884.057971,2.540341184,1
"283",1,88.04347826,1207.729469,1304.347826,2.055555556,1
"284",1,86.95652174,1207.729469,1449.275362,2.068362879,1
"285",1,84.7826087,1207.729469,1376.811594,2.038098661,1
"286",1,85.86956522,1207.729469,1231.884058,1.968903827,1
"287",1,85.86956522,1207.729469,1195.652174,2.025158222,1
"288",0,83.69565217,1207.729469,1340.57971,2.051290376,1
"289",1,86.95652174,1207.729469,1231.884058,2.068362879,1
"290",1,85.86956522,1207.729469,1159.42029,1.856395037,1
"291",1,86.95652174,1207.729469,1050.724638,1.788854382,1
"292",1,86.95652174,1207.729469,1050.724638,1.788854382,1
"293",1,86.95652174,1207.729469,1159.42029,1.844756081,1
"294",1,79.12087912,1221.001221,1501.831502,2.180245909,1
"295",1,68.13186813,1221.001221,2161.172161,2.667002667,1
"296",1,68.47826087,1207.729469,2282.608696,2.897727626,1
"297",0,74.44444444,1234.567901,2074.074074,2.626643054,1
"298",1,75,1207.729469,1920.289855,2.467909988,1
"299",1,72.82608696,1207.729469,1992.753623,2.504473609,1
"300",1,78.02197802,1221.001221,1611.721612,2.254885151,1
"301",0,73.91304348,1207.729469,1666.666667,2.061552813,1
"302",0,64.13043478,1207.729469,2246.376812,2.733967131,1
"303",1,63.04347826,2415.458937,2282.608696,1.956985593,1
"304",1,60.86956522,2415.458937,2427.536232,2.163323248,1
"305",0,68.47826087,1207.729469,2318.84058,2.960721705,1
"306",1,72.52747253,1221.001221,2124.542125,2.769558547,1
"307",0,70.65217391,2415.458937,1992.753623,1.790125395,1
"308",1,69.56521739,2415.458937,1811.594203,1.771100228,1
"309",1,68.47826087,1207.729469,2065.217391,2.834733548,1
"310",1,58.88888889,1234.567901,2333.333333,3.090612689,1
"311",0,54.34782609,2415.458937,2536.231884,2.172988606,1
"312",0,54.34782609,2415.458937,2572.463768,1.964285714,1
"313",1,47.82608696,4830.917874,2463.768116,1.466120674,1
"314",0,56.52173913,3623.188406,2500,1.802513037,1
"315",0,52.17391304,6038.647343,2463.768116,1.408497034,1
"316",1,65.2173913,2415.458937,2246.376812,1.894490899,1
"317",0,60.86956522,3623.188406,2391.304348,1.719387895,1
"318",0,57.60869565,2415.458937,2463.768116,2.295492405,1
"319",1,81.52173913,1207.729469,1666.666667,2.367136104,1
"320",1,80.8988764,1248.439451,1685.393258,2.357022604,1
"321",1,80.43478261,1207.729469,1702.898551,2.383076594,1
"322",1,80.21978022,1221.001221,1721.611722,2.399343518,1
"323",0,80.43478261,1207.729469,1739.130435,2.383076594,1
"324",1,82.60869565,1207.729469,1521.73913,2.179449472,1
"325",1,86.95652174,1207.729469,1340.57971,2.124264579,1
"326",1,85.86956522,1207.729469,1413.043478,2.137667012,1
"327",1,85.86956522,1207.729469,1413.043478,2.137667012,1
"328",0,91.30434783,1207.729469,688.4057971,1.472970759,1
"329",1,88.04347826,1207.729469,1086.956522,1.777777778,1
"330",1,87.91208791,1221.001221,1062.271062,1.844756081,1
"331",1,89.13043478,1207.729469,905.7971014,1.656472891,1
"332",1,89.13043478,1207.729469,942.0289855,1.656472891,1
"333",1,81.39534884,1291.989664,1434.108527,1.972127205,1
"334",1,80.43478261,1207.729469,1739.130435,2.383076594,1
"335",0,80.43478261,1207.729469,1630.434783,2.266828956,1
"336",1,73.91304348,1207.729469,1920.289855,2.42535625,1
"337",1,75,1207.729469,1666.666667,2.347524135,1
"338",1,69.56521739,1207.729469,1557.971014,2.25,1
"339",1,65.2173913,3623.188406,1630.434783,1.366967642,1
"340",1,65.16853933,3745.318352,1685.393258,1.401635082,1
"341",1,68.47826087,2415.458937,1449.275362,1.516001016,1
"342",1,69.23076923,1221.001221,1465.201465,2.078804602,1
"343",1,65.16853933,1248.439451,1610.486891,2.166556142,1
"344",1,60.86956522,2415.458937,1702.898551,1.646139766,1
"345",0,58.88888889,2469.135802,1888.888889,1.755575159,1
"346",1,58.69565217,2415.458937,1992.753623,1.81307429,1
"347",1,57.60869565,2415.458937,1920.289855,1.755575159,1
"348",0,59.7826087,3623.188406,1920.289855,1.618449959,1
"349",0,57.60869565,2415.458937,1920.289855,1.755575159,1
