ID,track,tag,ts,x,y,step,angle,angle_deg,state
10478_1,1,10478,2023-05-12T19:01:30Z,508411.1885071516,2771034.051198007,4.343529667217033,0.6128161253513982,35.111777600195126,1
10478_1,1,10478,2023-05-12T19:02:10Z,508407.1182151761,2771035.5674345335,2.0991911144593445,3.128732683766038,179.26317800443323,1
10478_1,1,10478,2023-05-12T19:02:50Z,508409.0757668443,2771034.8094142163,3.1845506883549457,0.6464986127243297,37.04164197016679,1
10478_1,1,10478,2023-05-12T19:03:30Z,508412.1388793362,2771035.6804509256,2.7255110238242306,0.8030855928414158,46.01341505757477,1
10478_1,1,10478,2023-05-12T19:04:10Z,508413.4231636345,2771038.0844110297,2.3684749825648104,-0.2932333720753616,-16.801034632307548,1
10478_1,1,10478,2023-05-12T19:04:50Z,508415.0954072368,2771039.7616930804,0.9016638527842348,-2.4841706820497245,-142.33249567158435,2
10478_1,1,10478,2023-05-12T19:05:30Z,508414.98167579586,2771038.8672307488,2.926305623727447,1.0877364239833263,62.322706316897296,1
10478_1,1,10478,2023-05-12T19:06:10Z,508417.3810009061,2771037.191968495,4.975904445904614,0.6354808526380995,36.41037081753811,1
10478_1,1,10478,2023-05-12T19:06:50Z,508422.3552301839,2771037.3210736713,3.348968739831228,0.2205679112098245,12.637610408339222,1
10478_1,1,10478,2023-05-12T19:07:30Z,508425.6029538264,2771038.1383146164,3.025587542619807,-0.589876013804477,-33.797406026997216,1
10478_1,1,10478,2023-05-12T19:08:10Z,508428.45193518035,2771037.1197444308,7.633709056956035,0.11691220078191647,6.698575678389897,1
10478_1,1,10478,2023-05-12T19:08:50Z,508435.8907577083,2771035.4058502205,7.026431401310368,0.30117298703068585,17.255941060206577,1
10478_1,1,10478,2023-05-12T19:09:30Z,508442.89758049126,2771035.930419306,3.5590667856303067,0.22198060154887395,12.718551602525661,1
10478_1,1,10478,2023-05-12T19:10:10Z,508446.3011322586,2771036.9709921055,2.3721355562332542,-0.031197012439196037,-1.7874571461830626,1
10478_1,1,10478,2023-05-12T19:10:50Z,508448.5901455548,2771037.593443089,6.042264373947696,-0.014393820711649019,-0.8247051778454798,1
10478_1,1,10478,2023-05-12T19:11:30Z,508454.44289887376,2771039.0948548755,6.325258912659396,-4.1618767811885116e-4,-0.02384579744155937,1
10478_1,1,10478,2023-05-12T19:12:10Z,508460.57042442635,2771040.664036482,10.161458474801647,0.09953106693128444,5.702710065596713,1
10478_1,1,10478,2023-05-12T19:12:50Z,508470.1150170888,2771044.1505805077,7.464199430426032,0.09373556453605564,5.370652238192143,1
10478_1,1,10478,2023-05-12T19:13:30Z,508476.85560086434,2771047.356637822,2.5287639363582355,-0.410685683418075,-23.53055636630155,1
10478_1,1,10478,2023-05-12T19:14:10Z,508479.38296450273,2771047.440781064,1.2805179150896913,-0.0022753521916337033,-0.1303680774864533,2
10478_1,1,10478,2023-05-12T19:14:50Z,508480.66286697,2771047.480477476,2.090032184305368,-2.1203388964627727,-121.48646990474332,2
10478_1,1,10478,2023-05-12T19:15:30Z,508479.62702555873,2771045.6651904183,2.7857886357622474,0.18516390954323558,10.609110534969545,2
10478_1,1,10478,2023-05-12T19:16:10Z,508478.71542478097,2771043.0327766314,0.8633447207174562,-2.394425450429818,-137.19047266833968,2
10478_1,1,10478,2023-05-12T19:16:50Z,508478.3682861161,2771043.823256773,0.3456176965044403,-2.5886164773118576,-148.31679892799207,2
10478_1,1,10478,2023-05-12T19:17:30Z,508478.65274865396,2771043.626959405,0.7134816568556299,0.16091587804889984,9.21980066884381,2
10478_1,1,10478,2023-05-12T19:18:10Z,508479.29732397257,2771043.3210529923,3.199656657804517,-0.5350310789719124,-30.655022733421227,1
10478_1,1,10478,2023-05-12T19:18:50Z,508481.08454023063,2771040.6670633964,4.304938422164577,0.6123176011270464,35.08321426615474,1
10478_1,1,10478,2023-05-12T19:19:30Z,508485.10461800057,2771039.1271057534,0.8444320460420389,-2.343173791346071,-134.25396890979763,2
10478_1,1,10478,2023-05-12T19:20:10Z,508484.3379742306,2771038.7730961344,1.5457203361436154,1.4153390612534253,81.09295478982918,2
10478_1,1,10478,2023-05-12T19:20:50Z,508484.76088892436,2771037.2863565744,0.7313108793146978,-0.8587166963749278,-49.20084249970032,2
10478_1,1,10478,2023-05-12T19:21:30Z,508484.3591476233,2771036.67527595,0.525331218943875,-0.6912221178767841,-39.604110060434024,2
10478_1,1,10478,2023-05-12T19:22:10Z,508483.85696930456,2771036.5210364424,1.6029115710515804,0.8143530894510058,46.658995058982235,2
10478_1,1,10478,2023-05-12T19:22:50Z,508483.14758960134,2771035.0836409014,3.2022277448691776,0.021605551318573557,1.2379069046075757,1
10478_1,1,10478,2023-05-12T19:23:30Z,508481.7927890774,2771032.1821278357,6.054285918021921,0.46678935059068993,26.745059710499053,1
10478_1,1,10478,2023-05-12T19:24:10Z,508481.97406854486,2771026.1305564917,5.674387495977725,0.3332128113564319,19.091687770412417,1
10478_1,1,10478,2023-05-12T19:24:50Z,508483.9897786728,2771020.8262576563,3.629031381117513,0.08374913496420411,4.798471971320413,1
10478_1,1,10478,2023-05-12T19:25:30Z,508485.55817331455,2771017.5536429505,3.41015272591087,-0.302584350050894,-17.336806204625343,1
10478_1,1,10478,2023-05-12T19:26:10Z,508486.04863476346,2771014.1789445668,1.6276978417909407,-0.07998607443636208,-4.5828644850227915,1
10478_1,1,10478,2023-05-12T19:26:50Z,508486.1532858975,2771012.5546144266,0.11829631651704771,-1.4296820316964756,-81.91474646189684,2
