ID,track,tag,ts,x,y,step,angle,angle_deg,state
34501_12,12,34501,2022-02-05T13:41:47Z,518805.8969227829,2778525.276329943,3.6052654982278267,-1.5511814055457762e-11,-8.887614779694393e-10,1
34501_12,12,34501,2022-02-05T13:42:47Z,518804.8971695258,2778528.740205336,3.2101662109102085,0.014940135375919317,0.8560067023942745,1
34501_12,12,34501,2022-02-05T13:43:47Z,518803.96100037557,2778531.810833028,0.35981458102027847,-0.4081295002595451,-23.384097859655373,2
34501_12,12,34501,2022-02-05T13:44:47Z,518804.0012879269,2778532.1683850465,0.2908616291615191,0.3162734809328438,18.121135629363263,2
34501_12,12,34501,2022-02-05T13:45:47Z,518803.9423427243,2778532.4532112223,0.8121098227972398,1.667331331265764,95.53104833145723,2
34501_12,12,34501,2022-02-05T13:46:47Z,518803.1666500775,2778532.2127465014,1.3159079789044053,-2.4459163432968176,-140.14068351297902,2
34501_12,12,34501,2022-02-05T13:47:47Z,518803.8817502258,2778533.3173937695,0.44891896667450926,0.4117716053896764,23.59277511215484,2
34501_12,12,34501,2022-02-05T13:48:47Z,518803.9544864616,2778533.7603809913,3.0336100257380445,1.9801388498191521,113.45359894452658,2
34501_12,12,34501,2022-02-05T13:49:47Z,518801.0126490657,2778533.0198524473,3.1766264899160572,-0.0763157027918746,-4.372567680549168,1
34501_12,12,34501,2022-02-05T13:50:47Z,518797.88196718605,2778532.481533931,3.176626489994969,1.4446976948079282e-10,8.277508058477335e-9,1
34501_12,12,34501,2022-02-05T13:51:47Z,518794.7512853064,2778531.9432154144,3.176626489994969,0,0,1
34501_12,12,34501,2022-02-05T13:52:47Z,518791.62060342677,2778531.4048968977,2.9022068234996596,0.02045154788228043,1.1717873781643853,1
34501_12,12,34501,2022-02-05T13:53:47Z,518788.77102800907,2778530.854692949,5.377593546373672,0.17288936039717173,9.905830673474178,1
34501_12,12,34501,2022-02-05T13:54:47Z,518783.74505547475,2778528.942073689,6.87300251100435,0.03939414128037955,2.257118032907841,1
34501_12,12,34501,2022-02-05T13:55:47Z,518777.42271040817,2778526.246500211,3.0312004089471576,0.3144036166943591,18.01400030023565,1
34501_12,12,34501,2022-02-05T13:56:47Z,518775.13869292126,2778524.2536529917,0.285224063101513,2.1275387264111965,121.89898977399989,2
34501_12,12,34501,2022-02-05T13:57:47Z,518775.41146028554,2778524.1702819467,0.3627030775527052,0.0627833471771029,3.5972208169525874,2
34501_12,12,34501,2022-02-05T13:58:47Z,518775.7642912997,2778524.0862355432,0.6161613309715203,0.08981403045865868,5.145964886340567,2
34501_12,12,34501,2022-02-05T13:59:47Z,518776.37407231214,2778523.9977940223,2.4376888113640183,-2.586375898686238,-148.18842322907685,2
34501_12,12,34501,2022-02-05T14:00:47Z,518774.13956816436,2778523.0234645326,4.885812097392866,-0.08056091690638167,-4.61580053243979,1
34501_12,12,34501,2022-02-05T14:01:47Z,518769.5183687451,2778521.4373763325,2.335347497042569,-0.17492595440503678,-10.02251891470648,1
34501_12,12,34501,2022-02-05T14:02:47Z,518767.2112700072,2778521.075239141,2.335347496985065,3.864908393325095e-12,2.2144293914221588e-10,1
34501_12,12,34501,2022-02-05T14:03:47Z,518764.9041712693,2778520.7131019495,1.0849086310415619,0.18353925942938876,10.516024940260673,2
34501_12,12,34501,2022-02-05T14:04:47Z,518763.8810922383,2778520.3520811275,0.6695373848508489,0.2345137771036132,13.436649665708757,2
34501_12,12,34501,2022-02-05T14:05:47Z,518763.3187665896,2778519.9886665232,0.3933676032776432,1.3228463252684648,75.79351138227314,2
34501_12,12,34501,2022-02-05T14:06:47Z,518763.4446701715,2778519.6159919207,0.6127888427120078,0.5872438097278396,33.64659184258877,2
34501_12,12,34501,2022-02-05T14:07:47Z,518763.92961144634,2778519.2413692763,0.9144573606142864,0.23339759942717497,13.372697395662126,2
34501_12,12,34501,2022-02-05T14:08:47Z,518764.7629602431,2778518.8648562655,0.4743065023067281,-0.47316235014444374,-27.110205687767902,2
34501_12,12,34501,2022-02-05T14:09:47Z,518765.0587150822,2778518.4940520944,0.42118692628365884,-1.1936334776065927,-68.39016055238102,2
34501_12,12,34501,2022-02-05T14:10:47Z,518764.84930580895,2778518.1286123823,0.4419341544531887,-0.08062347032712402,-4.619384579442433,2
34501_12,12,34501,2022-02-05T14:11:47Z,518764.5994141326,2778517.764112798,0.7973755410121912,-0.510218504278479,-29.233366924634385,2
34501_12,12,34501,2022-02-05T14:12:47Z,518763.8847819109,2778517.4104059404,0.525635362426482,0.30050959199423,17.21793132446773,2
34501_12,12,34501,2022-02-05T14:13:47Z,518763.5038218151,2778517.048243077,0.434516876914283,0.24093123267150096,13.804342784961456,2
34501_12,12,34501,2022-02-05T14:14:47Z,518763.26943168376,2778516.682365799,0.5113314191178486,1.2980400560438663,74.37221685023839,2
34501_12,12,34501,2022-02-05T14:15:47Z,518763.60976857785,2778516.300749999,0.37437083660391923,-0.800780809267443,-45.88136068609504,2
34501_12,12,34501,2022-02-05T14:16:47Z,518763.58265150635,2778515.927362549,0.5342428838798213,-1.4293169462558009,-81.8938286069845,2
34501_12,12,34501,2022-02-05T14:17:47Z,518763.04967922665,2778515.8905385346,1.8529836274274887,-1.2844594870672594,-73.59410756449252,2
34501_12,12,34501,2022-02-05T14:18:47Z,518762.40504573553,2778517.6277765683,1.1499147129992189,-2.089538394203105,-119.7217311183812,2
34501_12,12,34501,2022-02-05T14:19:47Z,518763.5396391526,2778517.4406893556,1.2725004427602207,0.01824206471008194,1.0451933174922348,2
