"","division","ed","pd","pland","shape_mn","x","y","ID","track","tag","ts","step","angle","angle_deg","state","class"
"8979",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:35:37,0.66499911688102,-0.282087276400174,-16.1624103920703,"2","1"
"8980",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:36:17,0.462959254765883,-0.642597164743441,-36.818105466872,"2","1"
"8981",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:36:57,0.466793119539283,-0.408550369958153,-23.4082119171105,"2","1"
"8982",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:37:37,0.55752820483305,0.609644866037399,34.9300778257614,"2","1"
"8983",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:38:17,0.491717323914407,-0.53896274600703,-30.8802906609842,"2","1"
"8984",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:38:57,0.513316421119844,-0.223757117102636,-12.8203384459956,"2","1"
"8985",0.97079502433748,1705.42635658915,6459.94832041344,30.2325581395349,1.27965252316638,508744.5,2771218.5,"10486_12",12,10486,2023-04-24 19:39:37,0.47183268569521,0.248753371444179,14.2525183234016,"2","1"
"8986",0.959437533802055,1821.70542635659,6459.94832041344,32.5581395348837,1.24992973220167,508741.5,2771218.5,"10486_12",12,10486,2023-04-24 19:40:17,0.509101787916404,-0.0204201518198248,-1.16998851629235,"2","1"
"8987",0.959437533802055,1821.70542635659,6459.94832041344,32.5581395348837,1.24992973220167,508741.5,2771218.5,"10486_12",12,10486,2023-04-24 19:40:57,0.486118331898061,0.00915993739429632,0.52482575329724,"2","1"
"8988",0.950108166576528,1976.74418604651,7751.93798449613,36.046511627907,1.21481037056358,508741.5,2771215.5,"10486_12",12,10486,2023-04-24 19:41:37,0.575164590761448,-0.150883820521101,-8.64500611266847,"2","1"
"8989",0.950108166576528,1976.74418604651,7751.93798449613,36.046511627907,1.21481037056358,508741.5,2771215.5,"10486_12",12,10486,2023-04-24 19:42:17,0.584696892396089,0.145088131857802,8.31293761288966,"2","1"
"8990",0.950108166576528,1976.74418604651,7751.93798449613,36.046511627907,1.21481037056358,508741.5,2771215.5,"10486_12",12,10486,2023-04-24 19:42:57,0.595708101461153,-0.450877920221187,-25.8334019043102,"2","1"
"8991",0.924824229313142,1744.18604651163,5167.95865633075,37.2093023255814,1.25698993014145,508738.5,2771215.5,"10486_12",12,10486,2023-04-24 19:43:37,0.612493240273218,-0.119684696138155,-6.85742796102196,"2","2"
"8992",0.924824229313142,1744.18604651163,5167.95865633075,37.2093023255814,1.25698993014145,508738.5,2771215.5,"10486_12",12,10486,2023-04-24 19:44:17,0.606804187218564,0.00960635506778029,0.550403601887921,"2","2"
"8993",0.924824229313142,1744.18604651163,5167.95865633075,37.2093023255814,1.25698993014145,508738.5,2771215.5,"10486_12",12,10486,2023-04-24 19:44:57,0.851004326996008,-0.414643809369771,-23.7573402781149,"2","2"
"8994",0.936722552731206,1589.14728682171,5167.95865633075,34.8837209302326,1.24790671169743,508738.5,2771218.5,"10486_12",12,10486,2023-04-24 19:45:37,0.736631407863888,0.19004369118713,10.8887014281101,"2","1"
"8995",0.936722552731206,1589.14728682171,5167.95865633075,34.8837209302326,1.24790671169743,508738.5,2771218.5,"10486_12",12,10486,2023-04-24 19:46:17,0.565784086101435,0.357044525772471,20.4571444250125,"2","1"
"8996",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:46:57,0.526269296130372,0.251471728544495,14.408268712459,"2","2"
"8997",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:47:37,0.553377354371371,-0.0650487309033498,-3.72701774344416,"2","2"
"8998",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:48:17,0.535368790905807,-0.393234908240768,-22.5307005994102,"2","2"
"8999",0.906030286641428,1666.66666666667,5167.95865633075,38.3720930232558,1.24409705635827,508735.5,2771218.5,"10486_12",12,10486,2023-04-24 19:48:57,0.721535756153952,-0.209200660827067,-11.9863149367387,"2","2"
